にもかかわらず,[〜にもかかわらず],14
うえで,[（～る）上で],14
ご,[（数時間）後],14
なおす,[（見）直す],14
あわてる,[],14
いのる,[],14
うばう,[],14
かけがえのない,[],14
したがう,[],14
てるてるほうず,[],14
とける,[],14
なくてはならない,[],14
めずらしい,[],14
よごす,[],14
とともに,[～とともに],14
ともに,[～とともに],14
しだい,[～次第],14
よそく,[予測],14
しゅうかく,[収穫],14
かく,[各（地）],14
かくち,[各地],14
むき,[向き],14
むく,[向く],14
いのち,[命],14
いとなみ,[営み],14
いとなむ,[営む],14
ゆうやけ,[夕焼け],14
ひきおこす,[引き起こす],14
あてになる,[当てになる],14
てにおえない,[手におえない],14
すう,[数（時間）],14
ひどり,[日取り],14
じき,[時期],14
きしょう,[気象],14
ほうそく,[法則],14
こうずい,[洪水],14
ながれ,[流れ],14
ながれる,[流れる],14
かかせない,[父かせない],14
いじょう,[異常],14
かみ,[神],14
みなおす,[見直す],14
かんさつ,[観察],14
かんそく,[観測],14
いいつたえ,[言い伝え],14
いいつたえる,[言い伝える],14
のうさぎょう,[農作業],14
しんぽ,[進歩],14
